Stations,Opening Dates,Station ID
10th Street,2014-06-14,1
30th Avenue,2004-12-04,2
38th Street,2004-06-26,3
46th Street,2004-06-26,4
50th Street / Minnehaha Park,2004-06-26,5
American Boulevard,2009-12-12,6
Bloomington Central,2004-12-04,7
Capitol / Rice Street,2014-06-14,8
Cedar-Riverside,2004-06-26,9
Central,2014-06-14,10
Dale Street,2014-06-14,11
East Bank,2014-06-14,12
Fairview Avenue,2014-06-14,13
Fort Snelling,2004-06-26,14
Franklin Avenue,2004-06-26,15
Government Plaza,2004-06-24,16
Hamline Avenue,2014-06-14,17
Lake Street / Midtown,2004-06-26,18
Lexington Parkway,2014-06-14,19
Mall of America,2004-12-04,20
Nicollet Mall,2004-06-26,21
Prospect Park,2014-06-14,22
Raymond Avenue,2014-06-14,23
Robert Street,2014-06-14,24
Saint Paul Union Depot,2014-06-14,25
Snelling Avenue,2014-06-14,26
Stadium Village,2014-06-14,27
Target Field,2009-11-14,28
Terminal 1 - Lindbergh,2004-12-04,29
Terminal 2 - Humphrey,2004-04-12,30
U.S. Bank Stadium,2014-26-06,31
VA Medical Center,2014-26-06,32
Victoria Street,2014-14-06,33
Warehouse District / Hennepin Avenue,2014-26-06,34
West Bank,2014-14-06,35
Western Avenue,2014-14-06,36
Westgate,2014-14-06,37
